Division: Ahmedabad
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Jamnagar	 	0288-2676904	0288-2550270
 	 	Kalawad	 	02894-222093
2	Khambhaliya	 	02833-234961	02833-234772
3	Dwarka	 	02892-234304	02892-234204
 	 	Okha	 	02892-262104
4	Dhrol	 	02897-222065	02897-222030
5	Jamjodhpur	 	02898-220009	02898-220098
 	 	Bhanvad	 	02896-232401
Division: Rajkot
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Rajkot	 	0281-2388863	0281-2235025
 	 	 	 	0281-2235026
2	Surendranagar	 	02752-220745	0275-2221152
3	Gondal	 	02825-220056	02825-220096
 	 	Virpur	 	02823-281540
4	Limbdi	 	02753-260223	02753-260083
 	 	Sayla	 	02855-280624
5	Morbi	 	02822-230709	02822-230701
6	Jasdan	 	02821-220221	02821-220220
 	 	Atkot	 	02821-288722
7	Wakaner	 	02828-220642	02828-220558
8	Dhangdhra	 	02754-262954	02754-262854
 	 	Halvad	 	02758-261455
9	Chotila	 	02751-280769	02751-280313
Division: Mehsana
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Mehsana	 	02762-221112	02762-251151
2	Visnagar	 	02765-230101	02765-231330
3	Kadi	 	02764-265371	02764-242716
4	Becharaji	 	02734-286456	02734-286337
5	Kalol	 	02764-223470	02764-223113
6	Vadnagar	 	02761-222139	02761-222054
7	Chansma	 	02734-223258	02734-222060
8	Kheralu	 	02761-231245	02761-231027
9	Harij	 	02733-222038	02733-222065
10	Patan	 	02766-220512	02766-222222
11	Unjha	 	02767-253577	02767-253565
Division: Valsad
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Valsad	 	02632-241404	02732-244161
Navsari	 	02637-258043	02637-258976
Bilimora	 	02634-282640	02634-284414
Bilimora	Gandevi	 	02634-262325
Bilimora	Chikhli	 	02634-232388
Bilimora	Vansada	 	02630-222413
2	Vapi	 	0260-246731	0260-2465731
Vapi	Umargam	 	0260-2562227
Vapi	Selvas	 	0260-2642830
Vapi	Nargol	 	0260-2597230
3	Dharampur	 	02633-242023	 
 	Ahwa	 	02631-220308	02631-220030
 	Ahwa	Saputara	 	02631-237279
Organization Structure
